Name	Address	Town	State	Country	Phone	Website	Lat	Long	Rating	Type	File	Open	Review	
Bendigo Art Gallery	42 View St, Bendigo VIC 3550	Bendigo	Vic	Aus	(03) 5434 6088	www.bendigoartgallery.com.au	-36.7573858	144.2762957	5	Museum	exhibition.png	Y	Pretty good for a regional gallery. Some nice works of art as well.	
National Motor Museum	Shannon St, Birdwood SA 5234	Birdwood	SA	Aus	(08) 8568 4000	www.nationalmotormuseum.com.au	-34.8198414	138.9549152	3	Museum	exhibition.png	Y	Not bad, especially if you like old cars. Huge collection.	
Classic Jet Fighter Museum	52 Anderson Dr, Parafield Airport SA 5106	Salisbury	SA	Aus	(08) 8258 2277	www.classicjets.com	-34.7887472	138.6377861	4	Museum	exhibition.png	Y	Pretty cool. Even have an old mirage fighter that the airforce wrecked.	
Coal Loader Centre of Sustainability	2 Balls Head Dr, Waverton NSW 2060	North Sydney	NSW	Aus	(02) 9936 8100	www.northsydney.nsw.gov.au	-33.8429843	151.1943316	3	Museum	exhibition.png	Y	Old coal port transformed into a centre for sustainability. Interesting to visit to check out what it used to be.	
Hurstville Museum & Gallery	14 Macmahon St, Hurstville NSW 2220	Hurstville	NSW	Aus	(02) 9330 6444	www.georgesriver.nsw.gov.au	-33.9644455	151.1022632	3	Museum	exhibition.png	Y	A nice little place. Free entry. Number of older relics from bygone days, and some local art as well.	
Flagstaff Hill Maritime Village	89 Merri St, Warrnambool VIC 3280	Warrnambool	Vic	Aus	(03) 5559 4600	www.flagstaffhill.com	-38.3895474	142.4850986	4	Museum	exhibition.png	Y	Pretty cool replica of an old colonial port. We came late so most of the fun had ended, but still pretty cool to wander around.	
Fremantle Prison	1 The Terrace, Fremantle WA 6160	Fremantle	WA	Aus	(08) 9336 9200	www.fremantleprison.com.au	-32.0549764	115.7537838	4	Museum	exhibition.png	Y	Pretty cool. A number of tours you can go on, including a tunnel one. Could spend the whole day here. Not just the old convict prison, but a more modern one as well.	
Melbourne Musuem	11 Nicholson St, Carlton VIC 3053	Carlton	Vic	Aus	(03) 8341 7777	www.museumsvictoria.com.au	-37.8032687	144.971604	2	Museum	exhibition.png	Y	It’s a natural history museum. I’m not a particularly big fan of them. Does have the occassional interesting exhibition, but nothing fantastic.	
Hellenic Museum, the	280 William St, Melbourne VIC 3000	Melbourne	Vic	Aus	(03) 8615 9016	www.hellenic.org.au	-37.8121994	144.9569399	4	Museum	exhibition.png	Y	Pretty cool place to visit. Has a collection of art and artifacts from Greece throughout the ages.	
Hosier Lane	9 Hosier Ln, Melbourne VIC 3000	Melbourne	Vic	Aus	Nil	www.youthprojects.org.au 	-37.8164905	144.9690319	1	Museum	exhibition.png	Y	Some nice art but ruined by the fact that anybody can do anything.	
Ipswich Art Gallery	D'Arcy Doyle Place, Ipswich QLD 4305	Ipswich	Qld	Aus	(07) 3810 7222	www.ipswichartgallery.qld.gov.au	-27.6146192	152.7586682	3	Museum	exhibition.png	Y	Not bad. Interesting collection of local art (including a motorcycle sculpture). Good way to spend half an hour.	
J-Ward Museum	Girdlestone St, Ararat VIC 3377	Ararat	Vic	Aus	Nil	www.jward.org.au	-37.2791273	142.9305365	4	Museum	exhibition.png	Y	The old Ararat county prison, and also the institute for the criminally insane. Has been refurbished and offers regular tours.	
MINT Museum of Toys	26 Seah St, Singapore 188382	Singapore	SG	SG	+65 6339 0660	www.emint.com	1.2962906	103.854536	5	Museum	exhibition.png	Y	Great hidden gem, especially if you love the old toys.	
Museum of Brisbane	City Hall, 64 Adelaide St, Brisbane City QLD 4000	Brisbane	Qld	Aus	(07) 3339 0800	www.museumofbrisbane.com.au	-27.4688695	153.0234404	3	Museum	exhibition.png	Y	Not a bad place if you are interested in the history of Brisbane.	
Museum of Contemporary Art	140 George St, The Rocks NSW 2000	The Rocks	NSW	Aus	(02) 9245 2400	www.mca.com.au	-33.8599558	151.2089145	3	Museum	exhibition.png	Y	The art is certainly quite modern.	
NGV International	180 St Kilda Rd, Melbourne VIC 3006	Southbank	Vic	Aus	(03) 8620 2222	www.ngv.melbourne	-37.8226367	144.9688938	5	Museum	exhibition.png	Y	By far Australia’s best art gallery, at least in my humble opinion.	
National Military Vehicle Museum	10 Sturton Rd, Edinburgh SA 5111	Elizabeth	SA	Aus	(08) 8285 3011	www.military-vehicle-museum.org.au	-34.7260546	138.6295062	4	Museum	exhibition.png	Y	Great place to go and look at a whole heap of restored military vehicle. Excellent value, and everything works. The collection pretty much has everything on display. Lots of interesting things to discover.	
National Railway Museum	76 Lipson St, Port Adelaide SA 5015	Port Adelaide	SA	Aus	(08) 8341 1690	www.natrailmuseum.org.au	-34.8453454	138.5076727	3	Museum	exhibition.png	Y	Great place to spend a few hours, especially if you are a train buff. Documents the history of rail in South Australia. However lacks a kiosk (though there was a dining area, but that was closed due to a function). You can also ride a small steam train around the grounds.	
Redcliffe Museum	75 Anzac Ave, Redcliffe QLD 4020	Redcliffe	Qld	Aus	(07) 3883 1898	www.moretonbay.qld.gov.au	-27.2306389	153.1108751	3	Museum	exhibition.png	Y	Not too bad. Basically just explores the history of Redcliffe, with some Bee Gees references along the way.	
Beenleigh Historical Village	205 Main St, Beenleigh QLD 4207	Beenleigh	Qld	Aus	(07) 3382 0608	www.beenleighhistoricalvillage.com.au	-27.7231355	153.2143214	4	Museum	exhibition.png	Y	Not bad at all. A collection of historical house set up as a museum to Beenleigh’s past.	
Perth Institute of Contemporary Arts	51 James St, Perth WA 6000	Northbridge	WA	Aus	(08) 9228 6300	www.pica.org.au	-31.9498505	115.8601366	4	Museum	exhibition.png	Y	Not bad. It's free, and also had an exhibition of contemporary aboriginal art. Seems to be more an exhibition space than a museum.	
Pinacotheque de Paris	5 Cox Terrace, Fort Canning Arts Centre, Fort Canning Park, Singapore 179620	Clarke Quay	SG	SG	Nil	Nil	1.2952632	103.8466732	4	Museum	exhibition.png	N	A pretty cool collection of paintings, as well as a space for temporary exhibitions (a Cleopatra one when I was here). There is also a free collection of South East Asian artifacts.	
Queensland Art Gallery	Stanley Pl, South Brisbane QLD 4101	South Brisbane	Qld	Aus	(07) 3840 7303	www.qagoma.qld.gov.au	-27.4727045	153.0182449	4	Museum	exhibition.png	Y	Contains more permanent exhibitions. Not bad, though a fairly small international collection, at least as far as European art goes. Also has a number of modern art exhibits.	
Queensland Maritime Museum	412 Stanley St, South Brisbane QLD 4101	South Brisbane	Qld	Aus	(07) 3844 5361	www.maritimemuseum.com.au	-27.4817221	153.0256479	3	Museum	exhibition.png	Y	Pretty cool place, especially if you like boats. Has an old river destroyer which you can spend hours exploring. Lots of other boats as well.	
Queensland Museum & Science Centre	Grey St & Melbourne Street, South Brisbane QLD 4101	South Brisbane	Qld	Aus	(07) 3840 7555	www.qm.qld.gov.au	-27.4729055	153.0179475	4	Museum	exhibition.png	Y	Pretty cool, and quite a few old dinosaurs fossils as well. For the most part it is free, but the temporary exhibitions and the science centre attract a charge.	
Rocks, the	The Rocks NSW 2000	The Rocks	NSW	Aus	Nil	Nil	-33.8585997	151.208087	5	Museum	exhibition.png	Y	Closest you’ll come to an old city in Australia.	
Hyde Park Barracks	Queens Square, Macquarie St, Sydney NSW 2000	Sydney	NSW	Aus	(02) 8239 2288	www.sydneylivingmuseums.com.au	-33.8695997	151.2126906	3	Museum	exhibition.png	Y	One of Sydney’s many colonial musuems. This one located in former military barracks. It was okay, and a nice glimpse into the past, but not really the best.	
Singapore Art Museum	71 Bras Basah Rd, Singapore 189555	Bras Basah	SG	SG	+65 6697 9730	www.singaporeartmuseum.sg	1.2974177	103.8508781	4	Museum	exhibition.png	Y	Cool contemporary art museum. There was this awesome security guard here when I visited. Also a science-fiction space fighter was on the first floor.	
South Australian Aviation Museum	66 Lipson St, Port Adelaide SA 5015	Port Adelaide	SA	Aus	(08) 8240 1230	www.saam.org.au	-34.8482713	138.511595	3	Museum	exhibition.png	Y	Not a bad place to spend a couple of hours if you like your planes. Has an F-111 but heaps of other stuff as well.	
State Library of Queensland	Cultural Precinct, Stanley Pl, South Brisbane QLD 4101	South Brisbane	Qld	Aus	(07) 3840 7666	www.slq.qld.gov.au	-27.4711579	153.0179761	4	Museum	exhibition.png	Y	Pretty cool place, especially the resource centre with heaps of computers, free wi-fi, and a collection of posters from the conscription referendum.	
QAGOMA	Stanley Pl, South Brisbane QLD 4101	South Brisbane	Qld	Aus	(07) 3840 7303	www.qagoma.qld.gov.au	-27.4704946	153.017046	4	Museum	exhibition.png	Y	Dedicated to modern art. Some pretty cool exhibits, as well as an awesome David Lynch exhibition. Generally has temporary exhibitions though there are some permanent ones on the top floor.	
State Library of South Australia	North Terrace &, Kintore Ave, Adelaide SA 5000	Adelaide	SA	Aus	(08) 8207 7250	www.slsa.sa.gov.au	-34.9205881	138.6025382	4	Museum	exhibition.png	Y	A great little place that includes a cultural history of South Australia in the Mortlock library. Also has free wi-fi and a gallery on the lower level.	
State Library of Victoria	328 Swanston St, Melbourne VIC 3000	Melbourne	Vic	Aus	(03) 8664 7000	www.slv.vic.gov.au	-37.8098044	144.9650529	5	Museum	exhibition.png	Y	Free Wifi - awesome. Also some great exhibition, a room for chess players, and of course lots and lots of books.	
Roundhouse, the	15 Captains Ln, Fremantle WA 6160	Fremantle	WA	Aus	(08) 9336 6897	www.fremantleroundhouse.com.au	-32.0561567	115.7413204	4	Museum	exhibition.png	Y	A rather susprising discovery. The restored remains of the original Fremantle Prison, back in the days of the original settlement.	
WA Maritime Museum	Victoria Quay, Peter Hughes Dr, Fremantle WA 6160	Fremantle	WA	Aus	1300 134 081	www.museum.wa.gov.au	-32.0547726	115.739136	4	Museum	exhibition.png	Y	Pretty good value for money, especially if you like boats. Oh, and they have a Submarine, and a pretty big one at that.	
Fremantle Arts Centre	1 Finnerty St, Fremantle WA 6160	Fremantle	WA	Aus	(08) 9432 9555	www.fac.org.au	-32.0478164	115.7539776	4	Museum	exhibition.png	Y	More than just a gallery. A place that not only showcases local talent, but also strives to develop it.	
Newport Railway Musuem	26 Champion Rd, Newport VIC 3015	Williamstown	Vic	Aus	(03) 9397 7412	Nil	-37.8562718	144.8867075	5	Museum	exhibition.png	Y	Awesome collection of Victorian trains. Even some of the old Melbourne Metro trains.	
Perth Cultural Centre	Francis Street and, William St, Northbridge WA 6003	Northbridge	WA	Aus	(08) 9427 3365	www.perthculturalcentre.com.au	-31.9498246	115.8606684	4	Museum	exhibition.png	Y	Having all of the major museums close together, and near the main station is very handy. Also lots of nice places to sit.	
Toy Factory, the	452 Torrens Valley Rd, Gumeracha SA 5233	Birdwood	SA	Aus	(08) 8389 1085	www.thetoyfactory.com.au	-34.8213188	138.8914015	4	Museum	exhibition.png	Y	This is what toys are supposed to be - made out of wood. They also have an animal sanctuary connected to it.	
Wave Rock Toy Soldier Museum	114 Wave Rock Rd, Hyden WA 6359	Hyden	WA	Aus	(08) 9880 5182	www.waverock.com.au	-32.4405872	118.8971439	4	Museum	exhibition.png	Y	A little gimicy, but still pretty cool. A huge collection of toy soldiers. Also lace if that’s your thing.	
Warrnambool Art Gallery, the	26 Liebig St, Warrnambool VIC 3280	Warrnambool	Vic	Aus	(03) 5559 4949	www.thewag.com.au	-38.386253	142.4821619	4	Museum	exhibition.png	Y	Quite small, and can be seen in half an hour, but still pretty cool	
Workshops Railway Museum, the	North St, North Ipswich QLD 4305	Ipswich	Qld	Aus	(07) 3432 5100	www.theworkshops.qm.qld.gov.au	-27.5983706	152.759089	5	Museum	exhibition.png	Y	Great place for this kids, or people who love trains. Displays the history of trains in Queensland. Even runs tours of the workshops out the back, though you have to get here early.	
Victor Harbor Station	Railway Tce, Victor Harbor SA 5211	Victor Harbor	SA	Aus	Nil	Nil	-35.5545396	138.6240266	4	Museum	exhibition.png	Y	Old style station which is actually the terminus of a steam train. Interesting info on the train as well.	
Goolwa Station	Dunbar Rd, Goolwa SA 5214	Goolwa	SA	Aus	Nil	Nil	-35.5046276	138.7852291	4	Museum	exhibition.png	Y	A tourist station, but does have some interesting history on the trains there.	
Museum of Sydney	Bridge St &, Phillip St, Sydney NSW 2000	Sydney	NSW	Aus	(02) 9251 5988	www.sydneylivingmuseums.com.au	-33.8636075	151.2113899	3	Museum	exhibition.png	Y	Not too bad. Basically a history of Sydney from colonisation to present day. A few exhibits, and not too large either.	
Sydney Tramway Museum	Pitt St, Loftus NSW 2232	Sutherland	NSW	Aus	(02) 9542 3646	www.sydneytramwaymuseum.com.au	-34.0450778	151.0518656	3	Museum	exhibition.png	Y	Great little museum. Get tram rides into the park. Lots of trams. Staff okay, but some not too talkative.	
NGV: Ian Potter Centre	Federation Square, Flinders St & Russell Street, Melbourne VIC 3000	Melbourne	Vic	Aus	(03) 8620 2222	www.ngv.vic.gov.au	-37.8177213	144.9699992	4	Museum	exhibition.png	Y	The gallery for Australian art. Not as great as the NGV International, but still pretty good. Some nice works in here and collected by era.	
Coffs Harbour Regional Gallery	Cnr Coff &, Duke St, Coffs Harbour NSW 2450	Coffs Harbour	NSW	Aus	(02) 6648 4863	www.coffsharbour.nsw.gov.au	-30.2964451	153.1190706	3	Museum	exhibition.png	Y	Smallish gallery. Don’t expect any Monet’s or Renoirs. Displays regularly changing. Disappointing none of my grandfather’s works were here.	
Murray Bridge Train Memorial	LOT 1 Wharf Rd, Murray Bridge SA 5253	Murray Bridge	SA	Aus	Nil	Nil	-35.1178602	139.2811614	4	Museum	exhibition.png	Y	Pretty cool collection of restored train carriages. No doubt from a time the river had a commercial character.	
Back Alley Gallery	LOT 1 Eggins Ln, Lismore NSW 2480	Lismore	NSW	Aus	0422 410 214	www.thebackalleygallery.yolasite.com	-28.8090306	153.2775089	5	Museum	exhibition.png	Y	A great way to make use of back alleys. Some great street art all along here. Isn’t even spoiled as some are.	
Lismore Regional Gallery	11 Rural St, Lismore NSW 2480	Lismore	NSW	Aus	(02) 6627 4600	www.lismoregallery.org	-28.8096735	153.2791706	3	Museum	exhibition.png	Y	A nice little art gallery. Small, but a couple of rooms. Some old style art here as well, but mostly more modern style.	
Coffs Harbour Regional Museum	215 Harbour Dr, Coffs Harbour NSW 2450	Coffs Harbour	NSW	Aus	(02) 6648 4847	www.coffsharbour.nsw.gov.au	-30.3009192	153.1210498	4	Museum	exhibition.png	Y	Interesting. Not a huge place, but it’s free. Had a special exhibition on here about the ship wrecks in the area.	
Burra Mines Open Air Museum	2 Market Square, Burra SA 5417	Burra	SA	Aus	(08) 8892 2154	www.aumuseums.com	-33.6781936	138.9251279	4	Museum	exhibition.png	Y	Pretty cool actually. You can wander around, but for a fee you get a key to allow you to go deeper.	
Grafton Regional Gallery	158 Fitzroy St, Grafton NSW 2460	Grafton	NSW	Aus	(02) 6642 3177	www.graftongallery.nsw.gov.au	-29.6890071	152.9303728	4	Museum	exhibition.png	Y	Lovely garden, and some nice works of art as well. Don't expect anything too flash, but still rather nice.	
Ballina Naval & Maritime Museum	Regatta Ave, Ballina NSW 2478	Ballina	NSW	Aus	(02) 6681 1002	www.ballinamaritimemuseum.org.au	-28.8733919	153.5643395	4	Museum	exhibition.png	Y	Another volunteer run museum. Not that big but quite a few interesting things, including a number of models, to check out.	
Old Police Stables	3 Frome St, Robe SA 5276	Millicent	SA	Aus	Nil	Nil	-37.1636904	139.7523827	3	Museum	exhibition.png	Y	Can’t go inside, and interesting nonetheless.	
Robe Gaol Ruins	3 Obelisk Rd, Robe SA 5276	Millicent	SA	Aus	Nil	Nil	-37.1578003	139.7474457	3	Museum	exhibition.png	Y	Most of it is gone, and was surprised that there were only three cells. Still, interesting, and must have been an important town.	
Millicent Museum	1 Mount Gambier Rd, Millicent SA 5280	Millicent	SA	Aus	(08) 8733 3205	www.nationaltrust.org.au	-37.5970662	140.3571209	5	Museum	exhibition.png	Y	Aboslutely amazing. A huge collection of fully restored horse drawn carriages, and much, much, much more as well.	
1815 Memorial	Route du Lion 1815, 1420 Braine-l'Alleud, Belgium	Waterloo	Wallonia	Belg	+32 2 385 19 12	www.waterloo1815.be	50.6799386	4.4037611	4	Museum	exhibition.png	Y	The museum commemorating 200 years since the famous battle.	
Frankfurt Archeological Museum	Karmelitergasse 1, 60311 Frankfurt am Main, Germany	Frankfurt	Hesse	De	+49 69 21235896	www.archaeologisches-museum-frankfurt.de	50.1089672	8.6780325	4	Museum	exhibition.png	Y	I really liked it. I never knew that Frankfurt was a Roman colony. Love the lego models of ancient Frankfurt as well. However, it is mostly in German.	
Arts House, the	1 Old Parliament Ln, Singapore 179429	Singapore	SG	SG	+65 6332 6900	www.theartshouse.sg	1.2886263	103.8509487	3	Museum	exhibition.png	Y	The old parliament house. You can still visit the legislative chamber. Also has some exhibitions.	
ArtScience Museum	6 Bayfront Ave, Singapore 018974	Marina Bay	SG	SG	+65 6688 8888	www.marinabaysands.com	1.2862792	103.8570776	3	Museum	exhibition.png	Y	It really depends on what exhibits are on. Saw an interesting History of Singapore display though.	
Asian Civilisations Museum	1 Empress Pl, Singapore 179555	Singapore	SG	SG	+65 6332 7798	www.acm.org.sg	1.2875023	103.8512493	5	Museum	exhibition.png	Y	Heaps cool place if you love looking at ancient artifacts. Normally you have to pay but I managed to get in for free due to the public holiday coming up.	
Museum of Tortue & Torture Instruments	Celetná 558/12, 110 00 Praha 1-Staré Město-Staré Město, Czechia	Prague	Prague	Cz	+420 224 282 483	www.museumtortury.cz	50.0871511	14.4232214	2	Museum	exhibition.png	Y	Actually, not really all that great, unless you are into torture devices.	
Beethovenhaus	Bonngasse 20, 53111 Bonn, Germany	Bonn	Westphalia	De	+49 228 9817525	www.beethoven.de	50.7368559	7.1010729	4	Museum	exhibition.png	Y	Composer's birthplace and childhood home. Inexpensive. No photos inside. A Beethoven Museum.	
Belgium Brewers Museum	Grand Place 10, 1000 Bruxelles, Belgium	Brussells	Brussells	Belg	+32 2 511 49 87	www.beermuseum.be	50.8462339	4.3524033	4	Museum	exhibition.png	Y	Small underground museum with two rooms, a cluttered room full of pre-industrial brewing equipment, and a modern brewery. Beer is brewed on site and a beer comes with the ticket.	
Checkpoint Charlie	Friedrichstraße 43-45, 10117 Berlin, Germany	Berlin	Berlin	De	Nil	www.berlin.de	52.5074625	13.3902615	4	Museum	exhibition.png	Y	The location of the site of the crossing between East and West Berlin during the cold wall.	
Brussels Stock Exchange	Place de la Bourse, 1000 Bruxelles, Belgium	Brussells	Brussells	Belg	+32 2 509 12 11	www.beurs.be	50.8479741	4.3502621	3	Museum	exhibition.png	Y	Was the original stock exchange, but is now used as an exhibition hall. Appears to be a major meeting point.	
Pergammum Museum	Bodestraße 1-3, 10178 Berlin, Germany	Berlin	Berlin	De	+49 30 266424242	www.smb.museum	52.5212031	13.3968154	5	Museum	exhibition.png	Y	This place is nothing short of awesome. Actually two museums. Has a reconstruction of the Pergammum temple inside, which was mindblowing.	
Museum of the Ancient Near East (Vorderasiatische)	Bodestraße 1, 10178 Berlin, Germany	Berlin	Berlin	De	Nil	www.museumsinsel-berlin.de	52.52075	13.3968994	5	Museum	exhibition.png	Y	This is the Babylonian section, and includes the gates of Babylon. Awesome.	
Tram Museum	2A Bentinck St, Portland VIC 3305	Portland	Vic	Aus	(03) 5523 2831	www.portlandcabletrams.com.au	-38.354825	141.6065406	4	Museum	exhibition.png	Y	Pretty cool. Not too pricey, and go for a nice trek along the foreshore.	
British Grenadier Bookshop	Menenstraat 5, 8900 Ieper, Belgium	Ypres	Flanders	Belg	+32 57 21 46 57	www.salienttours.be	50.8516861	2.8888056	5	Museum	exhibition.png	Y	Great antique shop for those who love WW1 antiques. Also has lots of books on the subject. There are also tours out to the salients that are run from here as well.	
Portland Powerhouse Motor and Car Museum	23 Glenelg St, Portland VIC 3305	Portland	Vic	Aus	(03) 5523 5795	www.aumuseums.com 	-38.3529664	141.6032043	4	Museum	exhibition.png	Y	Not a bad museum. Decent selection of cars	
Water Tower Museum	1/2 Wade St, Portland VIC 3305	Portland	Vic	Aus	Nil	Nil	-38.3336673	141.6079451	3	Museum	exhibition.png	Y	Not a big museum	
Caracaturia - Museum for Comic Art	Weckmarkt 17, 60311 Frankfurt am Main, Germany	Frankfurt	Hesse	De	+49 69 21230161	www.caricatura-museum.de	50.1101109	8.6851164	4	Museum	exhibition.png	Y	Rather interesting museum. Contains exhibits of cartoons and caricatures. Knowing German does help.	
Carriere Wellington	Rue Arthur Deletoille, 62000 Arras, France	Arras	Piccardy	Fr	+33 3 21 51 26 95	www.carrierewellington.com	50.2802714	2.7830402	5	Museum	exhibition.png	Y	A huge network of underground tunnels built during world war I. Guided tours only because it is really easy to get lost down here. Pretty impressive.	
Centre Historique Medieval d'Azincourt	24 Rue Charles VI, 62310 Azincourt, France	Azincourt	Pas-de-Calais	Fr	+33 3 21 47 29 05	www.chmazincourt.wixsite.com	50.4635068	2.1274876	4	Museum	exhibition.png	Y	Pretty cool. Is a museum on the Hundred Years War focusing mostly on the battle of Agincourt. Final conclusion is that it was five hundred years ago and the English ended up losing the war so get over it.	
Changi Museum	1000 Upper Changi Rd N, Singapore 507707	Changi	SG	SG	+65 6214 2451	www.changimuseum.sg	1.3621258	103.9738976	5	Museum	exhibition.png	Y	Incredibly moving. Not photos inside. Look inside the POW camp from the point of view of the prisoners. Everything comes from the prisoners.	
Museum of Communication	Schaumainkai 53, 60596 Frankfurt am Main, Germany	Frankfurt	Hesse	De	+49 69 60600	www.mfk-frankfurt.de	50.1042103	8.6758914	4	Museum	exhibition.png	Y	Fascinating museum that explores all aspects of communication, from post, to the modern internet. Actually goes back to the invention of writing. Also a couple of interesting displays of advertising and some letter in a bottle artwork.	
Coupole Centre d’Histoire, La	Rue André Clabaux, 62570 Wizernes, France	Hazebrouck	Pas-de-Calais	Fr	+33 3 21 12 27 27	www.lacoupole-france.com	50.705499	2.2411462	5	Museum	exhibition.png	Y	Awesome science and World War II museum inside an old Nazi Bunker.	
Penang Street Art	316, Beach Street Georgetown, George Town, 10300 George Town, Pulau Pinang, Malaysia	Georgetown	Penang	My	Nil	www.streetartpenang.com	5.4138077	100.3371135	5	Museum	exhibition.png	Y	Wandering through the old town you will see lots of this art. Some represent the old colonial businesses and locations, others are just cool works of art.	
Dommuseum	Domplatz 1, 60311 Frankfurt am Main, Germany	Frankfurt	Hesse	De	+49 69 13376186	www.dommuseum-frankfurt.de	50.1107411	8.6847812	3	Museum	exhibition.png	Y	Collection of decorative art objects that can't fit in the cathedral. Lots of old vestments, and some lovely figures as well.	
Electric Tram Museum Amsterdam	Amstelveenseweg 264, 1075 XV Amsterdam, Netherlands	Amsterdam	Holland	De	+31 20 673 7538	www.museumtramlijn.org	52.3493692	4.8565971	4	Museum	exhibition.png	Y	Actually some old trams that run an old route set aside for the trams. I thought it was actually a museum. Still quite nice, though to does take a while which is a little frustrating with all the other things to do.	
Espace Dali	11 Rue Poulbot, 75018 Paris, France	Paris	IDF	Fr	+33 1 42 64 40 10	www.daliparis.com	48.8864501	2.3398316	4	Museum	exhibition.png	Y	Pretty crazy, but then again it is dedicated to the art of Salvador Dali. Some quite interesting pieces, and you can even buy originals.	
Deutsches Filmmuseum	Schaumainkai 41, 60596 Frankfurt am Main, Germany	Frankfurt	Hesse	De	+49 69 961220220	www.deutsches-filmmuseum.de	50.1050863	8.6775429	4	Museum	exhibition.png	Y	Fascinating musuem that looks at the history of film, and how the modern film is made. Also has cinemas for special film screenings. Don't expect mainstream films here though.	
Goethe House	Großer Hirschgraben 23-25, 60311 Frankfurt am Main, Germany	Frankfurt	Hesse	De	+49 69 138800	www.goethehaus-frankfurt.de	50.1112157	8.6774849	5	Museum	exhibition.png	Y	A recreation of Goethe's parents house. Full to the brim with awesome works of art. Also has a separate gallery containing contemporary peices.	
Golden Hinde	St Mary Overie's Dock, Cathedral St, London SE1 9DE, UK	London	England	UK	+44 20 7403 0123	www.goldenhinde.co.uk	51.5068698	-0.0904971	4	Museum	exhibition.png	Y	Pretty cool replica of Drake's ship. Can be a little tricky getting tickets as the ticket office is a little way down the street. Pretty cool to explore though.	
Graffiti Street	Werregarenstraat, 9000 Gent, Belgium	Ghent	Flanders	Belg	Nil	www.visit.gent.be	51.0554233	3.7244842	2	Museum	exhibition.png	Y	Another grafitti filled street. Nothing great.	
Gutenburg Museum	Liebfrauenpl. 5, 55116 Mainz, Germany	Mainz	Palatinate	De	+49 6131 122503	www.gutenberg-museum.de	49.9998455	8.275301	3	Museum	exhibition.png	Y	Interesting museum, but the staff can be pretty blunt. Wish it was clear where you could take photos and not. More than just Gutenberg's device.	
Henri Willig Cheese Museum	Singel 518, 1017 AX Amsterdam, Netherlands	Amsterdam	Holland	Nth	+31 20 752 3960	www.henriwillig.com	52.3667125	4.890993	4	Museum	exhibition.png	Y	A rather famous cheese shop with a museum in the basement.	
Historisches Museum Frankfurt	Saalhof 1, 60311 Frankfurt am Main, Germany	Frankfurt	Hesse	De	+49 69 21235599	www.historisches-museum-frankfurt.de	50.109359	8.6823889	4	Museum	exhibition.png	Y	Great little museum with lots of objects from early modern to 20th century Frankfurt. Explores the history of the modern city. Friendly host as well. Quite extensive.	
Glenrowan Station 	Siege St, Glenrowan VIC 3675	Wangaratta	Vic	Aus	Nil	Nil	-36.4629117	146.2234577	3	Museum	exhibition.png	Y	Well, the trains don’t stop here any more, but the station has been maintained, due to the historic significance of the place.	
Ned Kelly Capture Site	26 Church St, Glenrowan VIC 3675	Wangaratta	Vic	Aus	Nil	Nil	-36.4617797	146.2234483	4	Museum	exhibition.png	Y	Basically an outdoor museum. Goes into detail on the seige that made this town famous. Quite well done.	
Invalides, les	Rond-Point du Bleuet de France, 75007 Paris, France	Paris	IDF	Fr	+33 1 44 42 38 77	www.musee-armee.fr	48.855502	2.3124931	5	Museum	exhibition.png	Y	Huge military museum where you can also find the tomb of Napoelon	
In Flanders Fields Museum	Grote Markt 34, 8900 Ieper, Belgium	Ypres	Flanders	Belg	+32 57 23 92 20	www.inflandersfields.be	50.8511923	2.8853348	5	Museum	exhibition.png	Y	Incredibly emotional	
Ann Jones’ Inn	1 Siege St, Glenrowan VIC 3675	Wangaratta	Vic	Aus	Nil	Nil	-36.4620862	146.2224591	3	Museum	exhibition.png	Y	Just a paddock, but used to be a pub where Ned Kelly was hold up.	
Jardins et Maison de Claude Monet	84 Rue Claude Monet, 27620 Giverny, France	Giverny	Norm	Fr	+33 2 32 51 28 21	www.fondation-monet.com	49.0750236	1.5335244	4	Museum	exhibition.png	Y	Awesome place, though seemed a little over rated. Really difficult to get to without transport and buses from railway station really infrequent. Lovely place to spend the day though. Paintings are all replicas as well.	
Ned Kelly Museum & Homestead	35 Gladstone St, Glenrowan VIC 3675	Wangaratta	Vic	Aus	(03) 5766 2448	www.katescottageglenrowan.com.au	-36.4638896	146.2212869	4	Museum	exhibition.png	Y	Somewhat disogranised, as are most Australian Museums, but the replica homestead is a real eyeopener. Lots of artifacts as well, including the armour.	
Glenrowan Cobb & Co	37 Gladstone St, Glenrowan VIC 3675	Wangaratta	Vic	Aus	(03) 5766 2409	Nil	-36.4638778	146.2215016	3	Museum	exhibition.png	Y	Not as big, but much, much more detailed. Also located in a basement.	
K20	Grabbepl. 5, 40213 Düsseldorf, Germany	Dusseldorf	Westphalia	De	+49 211 8381204	www.kunstsammlung.de	51.2283811	6.7758476	3	Museum	exhibition.png	Y	Basically a modern art museum. Does have a gallery with more traditional art work in it, but expect most of the stuff to be more contemporary in nature.	
Kattenkabinet	Herengracht 497, 1017 BT Amsterdam, Netherlands	Amsterdam	Holland	Nth	+31 20 626 9040	www.kattenkabinet.nl	52.3656187	4.8914363	5	Museum	exhibition.png	Y	A museum dedicated to cats.	
Certosa e Museo di San Martino	Largo S. Martino, 5, 80129 Napoli NA, Italy	Naples	Napoli	It	+39 081 229 4503	www.beniculturali.it	40.8434384	14.2410096	4	Museum	exhibition.png	Y	Museum of interesting artifacts in the heart of the former monastery.	
